"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms"
"mean54","Relative Clause",1,"FPReg","MoTR",0.412765180420209,0.54815865458275,-0.2648689,1.3729025,0.00872969032526042,-0.00408657715993388,0.0229881065999504
"mean55","Relative Clause",2,"FPReg","MoTR",0.145190182967912,0.12437418923125,-0.16463505,0.409713275,0.029295310445156,-0.0396174223397849,0.095543797408499
"mean56","Adverb",-1,"gaze_duration","MoTR",0.0104726318369813,0.01106825762477,-0.0094777585,0.031217715,4.39383887771392,-3.77848398215827,12.4397578302763
"mean57","Adverb",0,"gaze_duration","MoTR",0.0170868447972892,0.069670898215,0.0366253825,0.1044093,30.6067594864731,15.9235964247614,46.7526463331627
"mean58","Adverb",1,"gaze_duration","MoTR",0.0129364128191546,0.04238051651,0.0169561425,0.0679026075,14.0135789685424,5.65489322685215,22.5119063622221
"mean59","Adverb",2,"gaze_duration","MoTR",0.018562061137856,0.008243945377905,-0.0275066,0.045889225,2.91285667071328,-9.77887317885644,16.1554171585771
"mean60","Adverb",-1,"go_past_time","MoTR",0.0127103991321144,0.0119752843801125,-0.012683575,0.0371425125,5.23228535995727,-5.62032278182992,16.3980272952783
"mean61","Adverb",0,"go_past_time","MoTR",0.0229530781929331,0.1386935587,0.0934293625,0.184919125,67.7582847299758,44.410967124628,92.629302006678
"mean62","Adverb",1,"go_past_time","MoTR",0.0192087614328673,0.09844825865,0.06128029,0.13616295,36.147216215748,22.413267458778,50.1982305160677
"mean63","Adverb",2,"go_past_time","MoTR",0.0361496618850699,0.0821461788188,0.0114975475,0.156013075,47.5523123007607,6.49032571470819,91.0398416121165
"mean64","Adverb",-1,"go_past_time","G-Maze",0.046873732572613,-0.0056094689512125,-0.09661857,0.086460375,-4.53617251331856,-78.1100472014179,70.395808120542
"mean65","Adverb",0,"go_past_time","G-Maze",0.0498521580477491,0.21955237965,0.123666525,0.3197281,225.998944652177,117.912699828219,345.274985866463
