"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms"
"mean48","Relative Clause",-1,"total_duration","MoTR",0.0215493550478808,0.0384675900804,-0.00305399725,0.08050456,19.894120349755,-1.61154081470263,42.2446165720934
"mean49","Relative Clause",0,"total_duration","MoTR",0.0250866237289853,0.110139777925,0.0613627675,0.16113705,63.5044778081208,35.5522502094824,93.5812190844791
"mean50","Relative Clause",1,"total_duration","MoTR",0.0318799728976068,0.0587093533886418,-0.00365582875,0.1209776,30.5436399244149,-1.88795154097992,64.363069673405
"mean51","Relative Clause",2,"total_duration","MoTR",0.0290412753226226,0.0103472817942275,-0.0474548125,0.0690353525,5.20785649813338,-23.8915768261555,34.9219370563908
"mean52","Relative Clause",-1,"FPReg","MoTR",0.283430289306342,0.30604683260595,-0.238601175,0.859076125,0.0214645380992412,-0.0161026547963414,0.0622979564743448
"mean53","Relative Clause",0,"FPReg","MoTR",0.283167292035006,0.6999866461275,0.1514516,1.2688175,0.0167234752864224,0.00345928380764926,0.0322474786889292
"mean54","Relative Clause",1,"FPReg","MoTR",0.490861928480304,0.243211503462883,-0.742089475,1.2123835,0.00313065355012549,-0.00900776324768631,0.016546645793344
"mean55","Relative Clause",2,"FPReg","MoTR",0.170988478101069,-0.044281031291525,-0.37507155,0.29212055,-0.0100218077350968,-0.0864313485737588,0.0664804650462977
"mean56","Adverb",-1,"gaze_duration","MoTR",0.0141474008225664,0.0022853050410435,-0.02668607,0.0302976325,0.944218125832016,-11.2696348157886,12.7395439927934
"mean57","Adverb",0,"gaze_duration","MoTR",0.0235381580183306,0.0806037307,0.03668525,0.129997775,40.8399283941112,18.2567472305148,66.4738551416364
"mean58","Adverb",1,"gaze_duration","MoTR",0.0370241764909861,0.0609345422296,-0.000208121549999998,0.14896255,30.676604010956,-0.104848860514441,76.5578248188314
"mean59","Adverb",2,"gaze_duration","MoTR",0.0316925685134164,0.031250275684115,-0.0219277775,0.10506525,16.1185953937759,-11.1624711607159,54.4505848317555
"mean60","Adverb",-1,"go_past_time","MoTR",0.0162819792950265,0.01506945311198,-0.01693932,0.047752825,6.88371920345393,-7.75212568988789,22.0220467176977
"mean61","Adverb",0,"go_past_time","MoTR",0.0278884740064393,0.144743802625,0.0912545675,0.201859125,78.663976238413,49.0389391160303,112.895290693397
"mean62","Adverb",1,"go_past_time","MoTR",0.0425786183821283,0.1078304830365,0.026691235,0.197714775,51.8705726289692,13.37521218932,101.637194100499
"mean63","Adverb",2,"go_past_time","MoTR",0.0422596281815216,0.1078276556325,0.02579894,0.192076175,66.0777010884177,16.0546662051688,119.381890340882
"mean64","Adverb",-1,"go_past_time","G-Maze",0.0443247911849496,-0.004479043609025,-0.092341605,0.0802118525,-3.68263369726851,-76.0200700599433,65.868313229744
"mean65","Adverb",0,"go_past_time","G-Maze",0.0511297704398896,0.2217770236,0.12059255,0.32365925,230.238121492234,118.090341887591,360.472787346214
"mean66","Adverb",1,"go_past_time","G-Maze",0.0342650262271925,0.01911701868939,-0.047073625,0.08884325,18.2394943229647,-44.0480672043147,84.9947099812056
"mean67","Adverb",2,"go_past_time","G-Maze",0.0380261269763717,0.048154870379645,-0.0269884125,0.122406775,42.1919049506965,-23.5427912545108,108.689281711056
"mean68","Adverb",-1,"go_past_time","A-Maze",0.0345806083963101,0.041341169079975,-0.0271376375,0.11149565,31.2425438870889,-20.8684794878087,83.461933190716
"mean69","Adverb",0,"go_past_time","A-Maze",0.0341935661612805,0.208047408175,0.143608725,0.277932375,184.781460653234,120.095668206274,259.527651429145
"mean70","Adverb",1,"go_past_time","A-Maze",0.0184161123289305,0.046588387648,0.009930597,0.0824626475,36.537545297412,7.62990316009094,65.1465291923155
"mean71","Adverb",2,"go_past_time","A-Maze",0.020792451741502,0.0123059398268592,-0.02802347,0.053431675,9.6805406946675,-21.6673216075477,42.3043071940729
"mean72","Adverb",-1,"go_past_time","SPR",0.0254390232034486,0.024993258524875,-0.0241580575,0.0763726125,13.2658543547526,-12.6883457183815,40.972181863248
