expr_id,cond_id,para_nr,word,word_nr,response_true,sent_rg_id,sent_rg,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg
1,7,103,soon,10,yes,-1,other,yes,1.0,374.0,374.0,374.0,374.0,374.0,1.0,0.0
1,7,103,got,11,yes,-1,other,yes,1.0,246.0,246.0,246.0,246.0,246.0,1.0,0.0
1,7,103,bored,12,yes,-1,other,yes,1.0,379.0,379.0,379.0,379.0,379.0,1.0,0.0
1,7,103,with,13,yes,-1,other,yes,1.0,185.0,185.0,185.0,185.0,185.0,1.0,0.0
1,7,103,them.,14,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,102,The,0,no,-1,other,no,1.0,1436.0,1436.0,1436.0,1436.0,1436.0,1.0,0.0
1,7,102,patient,1,no,-1,other,no,1.0,186.0,186.0,186.0,186.0,186.0,1.0,0.0
1,7,102,who,2,no,-1,other,no,1.0,503.0,503.0,503.0,503.0,503.0,1.0,0.0
1,7,102,the,3,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,102,doctor,4,no,-1,other,no,1.0,372.0,372.0,372.0,372.0,372.0,1.0,0.0
1,7,102,treated,5,no,-1,other,no,1.0,424.0,424.0,424.0,424.0,424.0,1.0,0.0
1,7,102,became,6,no,-1,other,no,1.0,556.0,556.0,556.0,556.0,556.0,1.0,0.0
1,7,102,better,7,no,-1,other,no,1.0,622.0,935.0,622.0,935.0,935.0,1.0,0.0
1,7,102,after,8,no,-1,other,no,1.0,367.0,367.0,367.0,367.0,367.0,1.0,0.0
1,7,102,only,9,no,-1,other,no,1.0,315.0,315.0,315.0,315.0,315.0,1.0,0.0
1,7,102,a,10,no,-1,other,no,1.0,183.0,183.0,183.0,183.0,183.0,1.0,0.0
1,7,102,few,11,no,-1,other,no,1.0,187.0,187.0,187.0,187.0,187.0,1.0,0.0
1,7,102,treatments.,12,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,101,The,0,no,-1,other,no,1.0,628.0,628.0,628.0,628.0,628.0,1.0,0.0
1,7,101,husband,1,no,-1,other,no,1.0,292.0,292.0,292.0,292.0,292.0,1.0,0.0
1,7,101,of,2,no,-1,other,no,1.0,189.0,189.0,189.0,189.0,189.0,1.0,0.0
1,7,101,the,3,no,-1,other,no,1.0,190.0,190.0,190.0,190.0,190.0,1.0,0.0
1,7,101,beautiful,4,no,-1,other,no,1.0,620.0,620.0,620.0,620.0,620.0,1.0,0.0
1,7,101,woman,5,no,-1,other,no,1.0,249.0,249.0,249.0,249.0,249.0,1.0,0.0
1,7,101,bought,6,no,-1,other,no,1.0,684.0,684.0,684.0,684.0,684.0,1.0,0.0
1,7,101,her,7,no,-1,other,no,1.0,435.0,435.0,435.0,435.0,435.0,1.0,0.0
1,7,101,roses,8,no,-1,other,no,1.0,440.0,440.0,440.0,440.0,440.0,1.0,0.0
1,7,101,and,9,no,-1,other,no,1.0,308.0,308.0,308.0,308.0,308.0,1.0,0.0
1,7,101,candy,10,no,-1,other,no,1.0,313.0,313.0,313.0,313.0,313.0,1.0,0.0
1,7,101,for,11,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,101,her,12,no,-1,other,no,1.0,308.0,308.0,308.0,308.0,308.0,1.0,0.0
1,7,101,birthday.,13,no,-1,other,no,1.0,1179.0,1179.0,1179.0,1179.0,1179.0,1.0,0.0
1,3,72,Kim,0,no,-1,other,no,1.0,314.0,614.0,314.0,614.0,614.0,1.0,0.0
1,3,72,will,1,no,-1,other,no,1.0,249.0,249.0,249.0,249.0,249.0,1.0,0.0
1,3,72,display,2,no,-1,other,no,1.0,186.0,186.0,186.0,186.0,186.0,1.0,0.0
1,3,72,the,3,no,-1,other,no,1.0,247.0,247.0,247.0,247.0,247.0,1.0,0.0
1,3,72,photos,4,no,-1,other,no,1.0,372.0,372.0,372.0,372.0,372.0,1.0,0.0
1,3,72,she,5,no,-1,other,no,1.0,312.0,312.0,312.0,312.0,312.0,1.0,0.0
1,3,72,took,6,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,72,next,7,no,0,Adverb,no,1.0,309.0,309.0,309.0,309.0,309.0,1.0,0.0
1,3,72,"month,",8,no,0,Adverb,no,1.0,314.0,314.0,314.0,314.0,314.0,1.0,0.0
1,3,72,but,9,no,1,AdverP1,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,72,she,10,no,1,AdverP1,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,72,won't,11,no,1,AdverP1,no,1.0,186.0,186.0,186.0,186.0,186.0,1.0,0.0
1,3,72,show,12,no,1,AdverP1,no,1.0,313.0,313.0,313.0,313.0,313.0,1.0,0.0
1,3,72,all,13,no,2,AdverP2,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,72,of,14,no,2,AdverP2,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,72,them.,15,no,2,AdverP2,no,1.0,3645.0,3645.0,3645.0,3645.0,3645.0,1.0,0.0
1,3,71,Bob,0,no,-1,other,no,1.0,1413.0,1413.0,1413.0,1413.0,1413.0,1.0,0.0
1,3,71,will,1,no,-1,other,no,1.0,252.0,252.0,252.0,252.0,252.0,1.0,0.0
1,3,71,complete,2,no,-1,other,no,1.0,873.0,873.0,873.0,873.0,873.0,1.0,0.0
1,3,71,the,3,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,71,project,4,no,-1,other,no,1.0,436.0,436.0,436.0,436.0,436.0,1.0,0.0
1,3,71,he,5,no,-1,other,no,1.0,312.0,312.0,312.0,312.0,312.0,1.0,0.0
1,3,71,started,6,no,-1,other,no,1.0,316.0,316.0,316.0,316.0,316.0,1.0,0.0
