"surp","y_lower","y_upper","y","delta","psychometric","prev_word","target_word"
9,1.5320303692543,15.8513698061347,10.0496292847004,-348.105302673517,"gaze_duration",TRUE,"wt-1"
9.1,0.907283105525778,15.8531597230791,10.0836820653279,-348.105302673517,"gaze_duration",TRUE,"wt-1"
9.2,1.22560073845511,15.5746780179214,10.1415492989737,-348.105302673517,"gaze_duration",TRUE,"wt-1"
9.3,1.59186214980383,15.6476244824694,10.2989764502739,-348.105302673517,"gaze_duration",TRUE,"wt-1"
9.4,1.20840964618071,15.5659007091904,10.1228787295591,-348.105302673517,"gaze_duration",TRUE,"wt-1"
9.5,1.33075695316074,15.6015442002898,10.210046347219,-348.105302673517,"gaze_duration",TRUE,"wt-1"
9.6,1.34926837484034,16.2994823129025,10.2584397282055,-348.105302673517,"gaze_duration",TRUE,"wt-1"
9.7,1.4812788363709,15.7257176024626,10.3240716202629,-348.105302673517,"gaze_duration",TRUE,"wt-1"
9.8,0.887393214300971,15.6915626229768,10.3587705194649,-348.105302673517,"gaze_duration",TRUE,"wt-1"
9.9,1.27685415715899,15.6533517615373,10.227022798926,-348.105302673517,"gaze_duration",TRUE,"wt-1"
10,1.25579297968733,15.5444603584106,10.4210105923993,-348.105302673517,"gaze_duration",TRUE,"wt-1"
10.1,1.17183169062486,15.4073589934036,10.5216770815735,-348.105302673517,"gaze_duration",TRUE,"wt-1"
10.2,2.07343703380053,14.6451445350689,10.4019658429505,-348.105302673517,"gaze_duration",TRUE,"wt-1"
10.3,0.887932227424415,15.8310088969394,10.518772981857,-348.105302673517,"gaze_duration",TRUE,"wt-1"
10.4,1.97796802490296,16.0748520288417,10.5934142074681,-348.105302673517,"gaze_duration",TRUE,"wt-1"
10.5,1.84683998061229,15.875443988513,10.534210436008,-348.105302673517,"gaze_duration",TRUE,"wt-1"
10.6,1.43816513378914,15.9255055667632,10.6074642018968,-348.105302673517,"gaze_duration",TRUE,"wt-1"
10.7,1.83289896327813,16.1591102987992,10.7525615579867,-348.105302673517,"gaze_duration",TRUE,"wt-1"
