,experiment,metric,measure,lm_fit,n_subj,n_item,Q1,median,Q3,failed_mean,power_Q1,power_median,power_Q3
48,Relative Clause,go_past_time,A-Maze,good,40,24,55.4953587819672,73.0423501855069,91.1969022071944,0.00666666666666667,0.65,0.85,0.979591836734694
49,Relative Clause,go_past_time,A-Maze,good,60,24,55.4953587819672,73.0423501855069,91.1969022071944,0,0.77,0.97,1
50,Relative Clause,go_past_time,A-Maze,good,80,24,55.4953587819672,73.0423501855069,91.1969022071944,0.00666666666666667,0.84,0.928571428571429,1
51,Relative Clause,go_past_time,SPR,good,10,24,-9.04709216170198,-2.61962306112463,3.85766781455368,0.00833333333333333,0.0303030303030303,0.0355081426509998,0.0555555555555556
52,Relative Clause,go_past_time,SPR,good,20,24,-9.04709216170198,-2.61962306112463,3.85766781455368,0.00833333333333333,0.0201515151515152,0.0612244897959184,0.06
53,Relative Clause,go_past_time,SPR,good,40,24,-9.04709216170198,-2.61962306112463,3.85766781455368,0.025,0.103898195876289,0.0876288659793814,0.122040816326531
54,Relative Clause,go_past_time,SPR,good,60,24,-9.04709216170198,-2.61962306112463,3.85766781455368,0.0383333333333333,0.128922536756638,0.0929982817869416,0.221971649484536
55,Relative Clause,go_past_time,SPR,good,80,24,-9.04709216170198,-2.61962306112463,3.85766781455368,0.0233333333333333,0.101322503384359,0.0985845951283739,0.247272727272727
56,Relative Clause,total_duration,MoTR,ill,10,24,70.172662373812,84.6083771566125,98.2181884906136,0.00333333333333334,0.292929292929293,0.39,0.46
57,Relative Clause,total_duration,MoTR,ill,20,24,70.172662373812,84.6083771566125,98.2181884906136,0.00999999999999999,0.464646464646465,0.69,0.775510204081633
58,Relative Clause,total_duration,MoTR,ill,40,24,70.172662373812,84.6083771566125,98.2181884906136,0.0166666666666667,0.814432989690722,0.94949494949495,0.96969696969697
59,Relative Clause,total_duration,MoTR,ill,60,24,70.172662373812,84.6083771566125,98.2181884906136,0.00999999999999999,0.91,0.97979797979798,1
60,Relative Clause,total_duration,MoTR,ill,80,24,70.172662373812,84.6083771566125,98.2181884906136,0.02,0.94949494949495,0.989690721649485,1
61,Adverb,gaze_duration,MoTR,good,10,24,30.0527652274206,35.2702237529688,40.2834962456554,0.00333333333333333,0.262626262626263,0.19,0.33
62,Adverb,gaze_duration,MoTR,good,20,24,30.0527652274206,35.2702237529688,40.2834962456554,0.00999999999999999,0.3,0.469387755102041,0.424242424242424
63,Adverb,gaze_duration,MoTR,good,40,24,30.0527652274206,35.2702237529688,40.2834962456554,0.00999999999999999,0.55,0.714285714285714,0.696969696969697
64,Adverb,gaze_duration,MoTR,good,60,24,30.0527652274206,35.2702237529688,40.2834962456554,0.00666666666666666,0.744897959183674,0.83,0.98
