expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_pass_time,FPFix,FPReg
1,2,12,hugged,1,Yes,Yes,1,798.0,798.0,798.0,798.0,798.0,1.0,0.0
1,2,12,her,2,Yes,Yes,1,181.0,181.0,181.0,181.0,181.0,1.0,0.0
1,2,12,"boyfriend,",3,Yes,Yes,1,688.0,688.0,688.0,688.0,688.0,1.0,0.0
1,2,12,and,4,Yes,Yes,1,531.0,531.0,531.0,531.0,531.0,1.0,0.0
1,2,12,her,5,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,12,friend,6,Yes,Yes,1,618.0,618.0,618.0,618.0,618.0,1.0,0.0
1,2,12,felt,7,Yes,Yes,1,73.0,73.0,73.0,73.0,73.0,1.0,0.0
1,2,12,uncomfortable,8,Yes,Yes,1,1137.0,1137.0,1137.0,1137.0,1137.0,1.0,0.0
1,2,12,watching,9,Yes,Yes,1,361.0,361.0,361.0,361.0,361.0,1.0,0.0
1,2,12,them.,10,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,13,The,0,Yes,Yes,1,574.0,574.0,574.0,574.0,574.0,1.0,0.0
1,2,13,producer,1,Yes,Yes,1,509.0,509.0,509.0,509.0,509.0,1.0,0.0
1,2,13,replaced,2,Yes,Yes,1,570.0,570.0,570.0,570.0,570.0,1.0,0.0
1,2,13,the,3,Yes,Yes,1,581.0,581.0,581.0,581.0,581.0,1.0,0.0
1,2,13,"actor,",4,Yes,Yes,1,187.0,187.0,187.0,187.0,187.0,1.0,0.0
1,2,13,and,5,Yes,Yes,1,725.0,725.0,725.0,725.0,725.0,1.0,0.0
1,2,13,the,6,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,13,actress,7,Yes,Yes,1,617.0,617.0,617.0,617.0,617.0,1.0,0.0
1,2,13,quit,8,Yes,Yes,1,206.0,206.0,206.0,206.0,206.0,1.0,0.0
1,2,13,the,9,Yes,Yes,1,385.0,385.0,385.0,385.0,385.0,1.0,0.0
1,2,13,movie,10,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,13,after,11,Yes,Yes,1,343.0,343.0,343.0,343.0,343.0,1.0,0.0
1,2,13,the,12,Yes,Yes,1,229.0,229.0,229.0,229.0,229.0,1.0,0.0
1,2,13,fight.,13,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,14,The,0,Yes,Yes,1,559.0,559.0,559.0,559.0,559.0,1.0,0.0
1,2,14,audience,1,Yes,Yes,1,125.0,125.0,125.0,125.0,125.0,1.0,0.0
