expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
2,1,2,jotted,36,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,a,37,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,note,38,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,in,39,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,his,40,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,painstaking,41,No,Spots on the sun.,0.0,276.0,276.0,0.0,0.0,0.0,0.0,0.0,0,1
2,1,2,record.,42,No,Spots on the sun.,0.0,307.0,307.0,307.0,307.0,583.0,1.0,1.0,0,0
2,1,2,That,43,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,night,44,No,Spots on the sun.,0.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0,0,0
2,1,2,there,45,No,Spots on the sun.,0.0,400.0,400.0,400.0,400.0,400.0,1.0,0.0,0,0
2,1,2,was,46,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,scarcely,47,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,a,48,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,square,49,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,inch,50,No,Spots on the sun.,0.0,376.0,376.0,376.0,376.0,376.0,1.0,0.0,0,0
2,1,2,of,51,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,earth,52,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,that,53,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,was,54,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,not,55,No,Spots on the sun.,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0,1
2,1,2,illuminated,56,No,Spots on the sun.,0.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0,1
2,1,2,by,57,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,aurora.,58,No,Spots on the sun.,0.0,245.0,245.0,245.0,245.0,746.0,1.0,1.0,0,0
2,1,3,I,0,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,agree,1,No,Everywhere in the United States.,0.0,351.0,351.0,351.0,351.0,351.0,1.0,0.0,0,0
2,1,3,that,2,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,California's,3,No,Everywhere in the United States.,0.0,545.0,545.0,545.0,545.0,545.0,1.0,0.0,0,0
